evidence_id,source_id,page_or_section,topic,crop,region,growth_stage,evidence_text,normalized_action,evidence_level,trigger_hint,notes
EV-001,HLJ-001,施肥段,施肥,大豆,黑龙江省,播种期,化肥做种肥，根据测土配方结果确定化肥用量。一般每公顷施纯N为30～45kg、P2O5为80～110kg、K2O为40～55kg，或等养分的复合肥。采取侧深施肥，施于种子侧向5～6cm，深度为种下5～6cm和10～11cm两层，各占50%。,根据测土配方侧深施肥：N 30-45 kg/hm²，P2O5 80-110 kg/hm²，K2O 40-55 kg/hm²,A,播种期/种肥,黑龙江官方2026年备春耕指导意见，适用黑龙江全省
EV-002,HLJ-001,施肥段,追肥/叶面肥,大豆,黑龙江省,花期-鼓粒期,在花期、结荚鼓粒期等关键环节，依据大豆长势适时喷施叶面肥。,花期至结荚鼓粒期视长势喷施叶面肥,A,长势偏弱 OR 鼓粒期,黑龙江官方2026年指导意见
EV-003,HLJ-001,根瘤菌接种段,根瘤菌接种,大豆,黑龙江省,播种前,播种前，做好种衣剂包衣及根瘤菌接种，提高大豆根瘤固氮能力。,播种前完成根瘤菌接种（拌种/包衣）,A,播种前准备,与 MOA-001 全国技术指导意见一致
EV-004,HLJ-001,根腐病防控段,病虫害防控,大豆,黑龙江省,播种期,大豆根腐病部分地区近年来有加重趋势，采用精甲霜灵·咯菌腈种衣剂包衣对防治根腐病有明显效果，对新型镰孢菌根腐病发生地块，要加入三氟吡啶胺；精甲霜灵·咯菌腈+噻虫嗪可兼防地下害虫、早期蓟马、二条叶甲、根潜蝇。,根腐病风险地块用精甲霜灵·咯菌腈种衣剂包衣；新型镰孢菌地块加三氟吡啶胺,A,根腐病风险高/低洼易涝地块,2026黑龙江指导意见，北部及东部偏重发生
EV-005,HLJ-001,病害防控段,病虫害防控,大豆,黑龙江省,结荚期,大豆食心虫可使用氯虫苯甲酰胺、四氯虫酰胺、甲维盐、高效氯氟氰菊酯等药剂喷雾防治，并可同时兼防其它食叶类害虫；对大豆雷瘿蚊等新发害虫要实时监测，及时防控。,食心虫用氯虫苯甲酰胺等药剂喷雾防治；关注大豆雷瘿蚊新发害虫,A,食心虫发生期（结荚期）,2026黑龙江指导意见
EV-006,HLJ-001,水分管理段,水分/排涝,大豆,黑龙江省,苗期-全生育期,低洼地块及时排水，防止田间积水；开花、结荚鼓粒期发生干旱时，适时进行灌溉。,低洼地块及时排水；花期-鼓粒期干旱时适时灌溉,A,低洼积水 OR 花期-鼓粒期干旱,2026黑龙江指导意见，三江平原易发春涝
EV-007,HLJ-001,化控段,中后期田间管理,大豆,黑龙江省,花前,花期前如大豆植株长势过旺，可喷施1～2次化控剂，调节大豆植株群体结构，增强植株抗倒伏能力。,花前植株长势过旺时喷施化控剂1-2次，防倒伏,A,花前株高过旺/预计倒伏风险,提示型建议，化控剂具体品种须按当地推荐
EV-008,HLJ-001,除草段,杂草防控,大豆,黑龙江省,播后苗前/苗期,播种后要搞好化学除草，使用高效低残留除草剂，加大除草剂减施技术应用；一般播种后及时喷施除草剂封闭除草，在苗期根据草情适时喷施茎叶除草剂。,播后苗前封闭除草；苗期按草情茎叶处理,A,播后至苗期,强调高效低残留、减施技术
EV-009,HLJ-001,气候预测段,生育期管理重点,大豆,黑龙江省,全生育期,建议西部提前做好抗春旱准备工作，东部低洼地块加强排涝散墒工作，适时早整地、早播种。夏季局部可能出现阶段性干旱和强对流天气，需关注大豆抗伏旱和低洼地块防涝工作。秋季需关注秋季防旱和加强促早熟工作。,全季关注：西部抗旱、东部排涝、夏季伏旱监测、秋季促早熟,A,区域/季节性气候风险判断,2026年黑龙江气候预测，适用区域管理决策
EV-010,HLJ-002,大豆施肥原则,施肥,大豆,黑龙江省,播种期,施足基肥，包括有机肥和磷肥，根据地力情况适当添加氮肥和钾肥。米豆轮作栽培方式，有机肥施用于前茬作物，大豆利用其后效。采用拌种、包衣、喷施等方式接种大豆根瘤菌，促进生物固氮，减少氮肥用量。秸秆还田条件下，适当减少钾肥用量；玉米改种大豆区域和米豆轮作区域可大幅减少化肥用量。,米豆轮作地块可大幅减少化肥用量；秸秆还田地块减少钾肥；根瘤菌接种减少氮肥,A,轮作/秸秆还田场景,2025黑龙江科学施肥指导意见
EV-011,HLJ-002,大豆追肥段,追肥/叶面肥,大豆,黑龙江省,开花期-结荚期,根据长势，可在开花期或结荚期追肥，以上的氮肥选用缓控释型。如果后期脱肥可喷施叶面肥。土壤肥力较高，基肥、种肥充足，大豆生长健壮的地块，可以不用追肥，但应防止徒长倒伏。,开花期或结荚期视长势追肥；高肥力壮苗地块不追肥，防徒长倒伏,A,开花期/结荚期长势评估,2025黑龙江科学施肥指导意见
EV-012,HLJ-002,大豆中微量元素,施肥,大豆,黑龙江省,初花期-盛花期,根据长势，推荐在初花期或结荚期喷施镁、硼、锰、铜、锌等中微量元素溶液。大豆连作区域应科学增施硼、钼、锌、镁等中微量元素肥料。,初花期至结荚期喷施中微量元素叶面肥；连作地块加强硼钼锌镁补充,A,初花期/大豆连作地块,2025黑龙江科学施肥指导意见
EV-013,HLJ-002,大豆侧深施肥,施肥,大豆,黑龙江省,播种期,推荐采用侧深施肥技术，施肥位置在种子侧方5-6厘米；也可采用分层施肥，肥料在种子下方。种肥以磷肥为主，配施氮肥；偏酸土壤上，选择生理碱性肥料或生理中性肥料。,侧深施肥（种侧5-6cm）；种肥以磷为主配氮；酸性土选碱性/中性肥料,A,播种期机械施肥,2025黑龙江科学施肥指导意见
EV-014,HLJ-003,防控目标,病虫害防控,大豆/全作物,黑龙江省,全生育期,全省农作物病虫草鼠害总体危害损失率控制在5%以内，不出现大面积生物灾害损失和疫情扩散蔓延。主要农作物病虫害绿色防控覆盖率达到68%，统防统治率达到67%。,目标：危害损失率<5%，绿色防控覆盖率≥68%，统防统治率≥67%,A,省级防控目标基准,2026黑龙江防控指导意见，作为田间管理达标参考
EV-015,HLJ-003,综合防控原则,病虫害防控,大豆/全作物,黑龙江省,全生育期,树立'公共植保、绿色植保'理念，贯彻'预防为主、综合防治'植保方针；充分利用生态调控、生物防治、理化诱控、免疫诱抗、物理防治及农艺耕作等非化学防控措施；轮换使用不同作用机理的农药，延缓抗药性产生；提倡'一喷多防''一喷多效''一喷多促'，有效减少防治次数和农药用量。,预防为主，优先非化学防控；提倡一喷多防，轮换用药防抗药性,A,田间管理全期原则,2026黑龙江防控指导意见
EV-016,MOA-001,根瘤菌接种方法,根瘤菌接种,大豆,全国,播种前,应在大豆播种前12小时内进行根瘤菌拌种作业。拌种地点应在阴凉处，避免阳光直射。拌种时应避免碰破种皮。种子包衣应在通风干燥环境条件下储存，储存温度不超过4度。,播种前12小时内拌种，阴凉处操作，储存≤4°C,A,根瘤菌接种操作规范,农业农村部+中国农科院+国家大豆产业技术体系联合发布
EV-017,MOA-001,大量元素施肥量,施肥,大豆,全国,播种期,目标产量200公斤/亩以上，亩施氮肥(N)3-4公斤、磷肥(P2O5)4-5公斤、钾肥(K2O)2-3公斤；目标产量150-200公斤/亩，亩施N 2-3公斤、P2O5 3-4公斤、K2O 2-3公斤；目标产量150公斤/亩以下，亩施N 2-3公斤、P2O5 2-3公斤、K2O 1-2公斤。,"按目标产量分级施肥：≥200kg/亩→N 3-4,P2O5 4-5,K2O 2-3 (kg/亩)；150-200→N 2-3,P2O5 3-4,K2O 2-3；<150→N 2-3,P2O5 2-3,K2O 1-2",A,播种期施肥量参考,农业农村部科学施肥专家指导组
EV-018,MOA-001,低肥力/高肥力地块施肥,施肥,大豆,全国,苗期-开花期,低肥力地块，50%氮肥作基肥或种肥，保证幼苗在根瘤形成前有足够氮素营养，另50%氮肥在开花或鼓粒期追施。中等以上肥力地块，可施用缓释肥作种肥，也可前期不施氮肥，在开花或鼓粒期追施。,低肥力：50%N基/种肥+50%N花期或鼓粒期追施；中高肥力：可前期不施N，花期或鼓粒期一次追施,A,地力分级追肥决策,农业农村部，适用全国
EV-019,MOA-001,微量元素-钼,施肥,大豆,全国,花期,叶面喷施时使用浓度为0.2%的钼酸铵溶液，在大豆花期喷施，每次40-50公斤/亩。拌种时用0.05%-0.1%的钼酸铵或钼酸钠溶液与根瘤菌剂混合后拌种。,钼肥：花期叶喷0.2%钼酸铵 40-50 kg/亩；或播前拌种0.05-0.1%溶液,A,缺钼/根瘤菌接种配套,农业农村部，钼能促进根瘤固氮
EV-020,MOA-001,有机肥施用,施肥,大豆,全国,播种前,推荐每亩施用农家肥1000-2000公斤，或商品有机肥150-300公斤。耕地土壤有机质含量低于1.0%的地块适当增加用量。有机肥作基肥施用，翻地或耙地时施入土层。,基肥施农家肥1000-2000 kg/亩或商品有机肥150-300 kg/亩；有机质<1%时增量,A,有机质低/重茬地块,农业农村部，重茬地块应重点增施
EV-021,EXT-001,Nitrogen management,根瘤菌接种,大豆,USA/Iowa（参考）,V1-R1,Soybean roots should be checked prior to growth stage R1 (flowering) for nodules and if they are active (check to see if they are pink inside). In fields where soybean has not been grown recently the addition of an inoculum that contains the bacteria would be a good management option to ensure nodulation.,V1至R1前检查根瘤活性（是否粉红色）；未连作田块建议接种,B,首次种植大豆或长期未种植田块,爱荷华州立大学推广，仅作中国场景参考
EV-022,EXT-001,Iron deficiency,施肥,大豆,USA（参考）,苗期,"Iron deficiency chlorosis: yellowing between the leaf veins occurring on new growth. Iron is necessary for nodule formation and function. Use 0.2% ferrous sulfate solution when new leaves show yellowing, usually 2 applications.",新叶发黄（脉间失绿）→叶喷0.2%硫酸亚铁溶液，一般2次,B,新叶脉间黄化（SPAD偏低可作触发提示）,与MOA-001中铁肥建议一致，适用碱性高钙土壤
EV-023,EXT-001,Foliar fertilizer,追肥/叶面肥,大豆,USA（参考）,R5-R6,"Some experiments showed that by spraying the soybean canopy between R5 and R6 you could increase yield. However, many on-farm trials showed that foliar fertilizer produced inconsistent results. The expected average response to foliar fertilizer in Iowa is about 1 bu/acre.",R5-R6叶面肥效果不稳定，平均增产约1 bu/acre（参考）,B,鼓粒期叶面追肥,爱荷华研究：效果不稳定，仅作参考；不建议作为硬性处方
EV-024,FAO-001,Water sensitive periods,水分/涝害恢复,大豆,Global（参考）,花期-鼓粒期,"Most sensitive periods to water deficits are the flowering and yield formation periods, particularly the later part of the flowering period and early pod development when water deficits may cause heavy flower and pod dropping. For normal pod filling, soil water during pod filling should not exceed 50 percent depletion level.",花期至鼓粒期为水分关键期；鼓粒期土壤水分耗竭不超过50%,B,花期-鼓粒期干旱监测触发,FAO，与HLJ-001花期灌溉建议一致
EV-025,FAO-001,Waterlogging sensitivity,水分/涝害恢复,大豆,Global（参考）,苗期,"A shallow water table, particularly during the early growth period can adversely affect yields. The plant is sensitive to waterlogging. At germination, the soil water content should not exceed 85 percent of available soil water.",大豆对涝害敏感，苗期尤甚；发芽期土壤含水量不超过有效水85%,B,低洼地块/苗期积水,FAO，与黑龙江东部春涝预警一致
EV-026,FAO-001,Supplemental irrigation timing,水分/涝害恢复,大豆,Global（参考）,花期-鼓粒期,"If one application can be given, the most likely timing will be in the late flowering period, when small pods are beginning to appear. If two applications: first at pre-emergence, second at beginning of pod filling.",补灌优先：第1次=盛花末期(见小荚)；第2次=鼓粒初期,B,水分不足/补灌决策,FAO灌溉调度建议，参考
EV-027,EXT-002,Reproductive stages,生育期管理重点,大豆,USA/Minnesota（参考）,R1-R8,R1: One open flower at any node. R3: 3/16-inch pod at one of four uppermost nodes. R5: 1/8-inch seed in pod. R7: One pod on main stem with mature pod color. R8: 95% pods with mature pod color; 5-10 days drying needed to <15% moisture.,关键生育期标志：R1开花→R3结荚→R5鼓粒→R7始熟→R8完熟,B,生育期定期巡田判断,UMN推广生育期标准（Fehr & Caviness系统），国内R期与此对应
EV-028,HLJ-005,大豆根瘤菌科学施肥技术（第28项）,根瘤菌接种,大豆,黑龙江省,播种前-全生育期,选用质量合格的根瘤菌菌剂，产品质量符合《农用微生物菌剂》（GB 20287）要求。根瘤菌接种可提高有效根瘤形成，促进大豆生物形状和产量提升；通过替代部分氮肥，增加有机肥和微量元素肥料，有效减少不合理氮肥投入，提高化肥利用率。2022年以来，在全省推广应用大豆根瘤菌科学施肥技术1640万亩以上，较常规施肥平均单株荚数增加2.7个。,选用符合GB 20287标准的根瘤菌菌剂；接种可减少氮肥投入，增加有效根瘤数量,A,播种前/根瘤菌接种配套施肥,2025年黑龙江省农业主推技术第28项，省级推广验证，1640万亩应用规模
EV-029,HLJ-005,大豆全程养分管理技术（第30项）,施肥,大豆,黑龙江省,全生育期,大豆'两增一减'施肥核心技术：以测土配方施肥精准匹配底肥为基础，利用缓控释肥、有机无机复合肥等提高肥料利用效率，减少化肥总体用量，同时以根瘤菌剂、叶面肥等辅助手段提升产量和品质。分层施肥：种肥施在种下5cm处，底肥施在种下10～12cm处，氮磷钾比例控制在1:1.1-1.5:0.8-1.2，控释氮肥比例不低于30%。叶面肥以补充中、微量元素为主，在花期、荚期、鼓粒期适时喷施。,分层施肥：种肥种下5cm+底肥种下10-12cm；N:P:K=1:1.1-1.5:0.8-1.2；控释氮肥≥30%；花期/荚期/鼓粒期喷施中微量叶面肥,A,播种期施肥方案/叶面肥时机,2025年黑龙江省农业主推技术第30项，测土配方+分层施肥+缓控释肥集成方案
EV-030,HLJ-005,大豆高效固氮施肥技术（第31项）,施肥,大豆,黑龙江省,播种期,采用玉米-大豆轮作种植模式，大豆生长发育时期根据地区实际情况适时合理高效施用化肥。中等肥力地块一般尿素（N：46%）30～50kg/hm²、氯化钾（K₂O：50%）75～100kg/hm²，磷酸二铵（N：18%，P₂O₅：46%）180～200kg/hm²。该技术可减少氮肥施用量10%，有效根瘤数量增加15-20%，根瘤固氮能力提升10-30%，实现增产7-12%，籽粒蛋白质含量提升1个单位。,玉米-大豆轮作中等肥力地块：尿素30-50 kg/hm²，KCl 75-100 kg/hm²，磷酸二铵180-200 kg/hm²；轮作减氮10%，配套根瘤菌接种,A,轮作地块/播种期施肥量参考,2025年黑龙江省农业主推技术第31项，国家重点研发计划成果
EV-031,HLJ-005,大豆窄行密植与黑土保护耕种技术（第32项）,中后期田间管理,大豆,黑龙江省,播种期,大垄种植地块采取分层施肥方式，第一层占施肥量的1/3，施肥深度10～12cm，第二层占施肥量的2/3，施肥深度16～18cm；平作少耕地块的施肥采取春季播种时一次性施入种肥方式，施肥部位位于种侧5～7cm。,大垄：1/3底肥深10-12cm + 2/3底肥深16-18cm（分层施肥）；平作少耕：种侧5-7cm一次性种肥,A,大垄/平作施肥深度与位置,2025年黑龙江省农业主推技术第32项，明确分层施肥比例和深度
EV-032,HLJ-006,大豆垄三高产优质栽培技术模式（第十一章）,施肥,大豆,黑龙江省,播种期,大豆'垄三'栽培模式：三垄（垄体播种、垄沟深松、垄上深施肥）。施肥量根据土壤肥力确定，采用测土配方施肥，一般每公顷施纯N 25～40kg、P₂O₅ 60～90kg、K₂O 30～50kg。磷肥全部作底肥施用；氮肥、钾肥按'底肥50%+追肥50%'或'底肥70%+追肥30%'分施。,垄三模式：N 25-40 kg/hm²，P₂O₅ 60-90 kg/hm²，K₂O 30-50 kg/hm²；磷全部底施；氮钾底肥50-70%+追肥30-50%,A,垄三栽培/播种期施肥量,2025年黑龙江省农作物栽培技术模式汇编第十一章，含N/P/K具体用量范围
EV-033,HLJ-006,大豆全生育期叶面一喷多促技术模式（第十四章）,追肥/叶面肥,大豆,黑龙江省,初花期-鼓粒期,大豆全生育期'一喷多促'技术：在大豆初花期（R1）、盛花期（R2）、结荚期（R3-R4）、鼓粒期（R5-R6）分别喷施。喷施内容根据生育期确定：初花期喷施硼、钼微量元素+磷酸二氢钾；鼓粒期喷施氨基酸类叶面肥+磷酸二氢钾，每次喷施用水量不少于30L/亩。每次间隔7～10天，可与农药混施实现'一喷多防'。,一喷多促：R1初花期喷硼钼+磷酸二氢钾；R5-R6鼓粒期喷氨基酸+磷酸二氢钾；每次≥30L/亩，间隔7-10天，可与农药混施,A,初花期至鼓粒期叶面肥/一喷多促,2025年黑龙江省农作物栽培技术模式汇编第十四章
EV-034,HLJ-006,大豆种子包衣防病技术模式（第十六章）,病虫害防控,大豆,黑龙江省,播种前,大豆种子包衣防病技术：选用含有精甲霜灵·咯菌腈的复合种衣剂，防治大豆根腐病、苗期立枯病等土传病害。推荐使用复合型种衣剂（杀菌+杀虫），同时兼防地下害虫（蛴螬、金针虫）。包衣时在阴凉通风处操作，包衣后晾干再播种，避免阳光直射。推荐种衣剂用量：每100kg种子用有效成分含量符合要求的种衣剂按标签说明使用。,选用精甲霜灵·咯菌腈复合种衣剂包衣；杀菌+杀虫兼防；阴凉处包衣，晾干后播种,A,播种前种子处理/根腐病防控,2025年黑龙江省农作物栽培技术模式汇编第十六章
EV-035,HLJ-006,大豆根瘤菌接种及配套施肥技术模式（第十七章）,根瘤菌接种,大豆,黑龙江省,播种前,根瘤菌接种技术要点：选用已取得农业农村部登记的大豆根瘤菌剂产品，产品质量符合《农用微生物菌剂》（GB 20287）国家标准。液体菌剂拌种：播种前2小时内完成拌种，避免阳光直射，随拌随播。固体菌剂包衣：将菌剂与粘合剂混合后包裹种子，阴凉处晾干备播。接种后不得与杀菌剂混用，如需使用杀菌剂种衣剂应先包衣晾干再接种。,液体菌剂：播前2小时内拌种，随拌随播；固体包衣：与粘合剂混合包衣，阴凉晾干；接种后不与杀菌剂混用,A,根瘤菌接种操作规范/与杀菌剂间隔,2025年黑龙江省农作物栽培技术模式汇编第十七章，补充了液体/固体菌剂操作区别
EV-036,HLJ-007,重点任务-三新集成模式推广,施肥,大豆,黑龙江省,播种期,大豆重点集成推广'根瘤菌剂+分层施肥'技术模式。分层施肥：种肥施在种下5cm处，底肥施在种下10～12cm处，肥料采用大豆专用肥料，氮磷钾比例控制范围在1:1.1-1.5:0.8-1.2，具体施用量以当地情况调整，控释氮肥比例不低于30%。,大豆推广'根瘤菌剂+分层施肥'：种肥种下5cm+底肥种下10-12cm；N:P:K=1:1.1-1.5:0.8-1.2；控释氮肥≥30%,A,省级重点推广技术/播种期施肥,黑龙江省2025年科学施肥增效项目实施方案，农业农村厅下发文件
EV-037,HLJ-007,巩固提升测土配方施肥-田间试验,施肥,大豆,黑龙江省,全生育期,大豆根瘤菌试验每个补贴6000元，于2025年10月底前完成。围绕施肥新技术、新产品、新机具，开展新型肥料、施肥效应、配方校正和大豆根瘤菌等田间试验。通过田间试验监测土壤养分、施肥效果、产量水平变化，用可靠数据评价科学施肥效果。,开展大豆根瘤菌+施肥效应田间试验，监测养分、施肥效果、产量变化,A,根瘤菌接种配套施肥效果评价,黑龙江省2025年科学施肥增效项目实施方案，说明省级田间试验部署
